x_coordinate,y_coordinate,month,week,day_of_week,Predicted_CATEGORY
7681640,680014,1,1,Wednesday,OTHER
7648626,700004,2,8,Saturday,OTHER
7642097,681726,4,14,Thursday,OTHER
7669106,682360,3,11,Monday,OTHER
7677939,687226,3,12,Saturday,OTHER
7669703,670900,5,21,Friday,OTHER
7649399,679308,5,18,Wednesday,OTHER
7656563,675121,2,5,Wednesday,OTHER
7643092,696539,5,20,Tuesday,OTHER
7650977,711824,4,13,Saturday,OTHER
7693134,676036,5,18,Saturday,OTHER
7644285,706585,1,1,Thursday,OTHER
7671677,684791,1,1,Sunday,OTHER
7669618,676788,1,2,Monday,OTHER
7631139,710826,4,17,Thursday,OTHER
7642248,683975,5,18,Sunday,OTHER
7650547,681143,3,9,Saturday,OTHER
7633974,705612,4,16,Tuesday,OTHER
7689827,696443,5,21,Friday,OTHER
7644129,697420,5,20,Saturday,OTHER
7657089,664813,3,11,Wednesday,OTHER
7634999,672794,1,2,Thursday,OTHER
7643782,676231,4,14,Monday,OTHER
7693183,671170,3,9,Thursday,STREET CRIMES
7642682,706072,1,4,Monday,OTHER
7651006,669776,1,2,Thursday,OTHER
7683223,671440,5,18,Saturday,STREET CRIMES
7683322,675981,3,13,Tuesday,OTHER
7640503,665227,1,4,Sunday,OTHER
7675630,701459,3,13,Tuesday,OTHER
7663706,689943,5,21,Thursday,OTHER
7644226,686113,1,2,Tuesday,OTHER
7643620,717592,5,20,Sunday,OTHER
7674620,683395,5,18,Wednesday,STREET CRIMES
7662841,700628,3,11,Wednesday,OTHER
7686916,681937,3,9,Sunday,OTHER
7642216,682380,1,1,Thursday,OTHER
7658692,688527,4,17,Thursday,OTHER
7660060,675260,1,2,Thursday,OTHER
7645280,683649,3,11,Saturday,OTHER
7638263,688956,3,12,Sunday,OTHER
7624397,710132,3,13,Thursday,OTHER
7656195,688405,2,5,Saturday,OTHER
7663277,678995,4,15,Tuesday,OTHER
7687567,682804,2,9,Tuesday,OTHER
7661579,696031,4,15,Friday,OTHER
7627684,709372,5,18,Wednesday,OTHER
7680282,684930,1,1,Saturday,OTHER
7643588,677271,1,1,Friday,OTHER
7661508,686396,5,18,Tuesday,OTHER
7680606,686707,2,7,Saturday,OTHER
7661132,675556,4,13,Sunday,OTHER
7664446,691675,5,21,Tuesday,MOTOR VEHICLE THEFT
7658106,681743,1,3,Sunday,OTHER
7633653,710830,3,10,Wednesday,OTHER
7668929,674032,4,15,Monday,OTHER
7617292,695296,1,4,Monday,OTHER
7642250,687041,4,15,Friday,OTHER
7648242,679735,5,19,Tuesday,STREET CRIMES
7645660,684293,3,11,Wednesday,OTHER
7689647,682780,4,16,Friday,OTHER
7680573,676346,3,12,Thursday,OTHER
7663694,667883,3,13,Friday,OTHER
7655805,679581,1,2,Sunday,OTHER
7666231,669062,1,2,Wednesday,OTHER
7683646,682027,5,22,Monday,OTHER
7657286,682951,2,8,Tuesday,OTHER
7651150,672186,5,19,Saturday,OTHER
7691431,672084,1,3,Tuesday,OTHER
7674871,671286,5,21,Thursday,OTHER
7643599,683216,4,15,Friday,OTHER
7645280,683649,3,9,Sunday,OTHER
7643372,682710,4,15,Sunday,OTHER
7649124,698193,5,18,Saturday,OTHER
7644832,683271,5,21,Saturday,STREET CRIMES
7660832,676178,5,18,Monday,OTHER
7655242,700891,2,6,Monday,OTHER
7683286,691340,5,18,Wednesday,OTHER
7644617,685608,1,1,Wednesday,OTHER
7637469,669770,4,16,Monday,OTHER
7689274,673805,3,10,Sunday,OTHER
7651172,677461,4,15,Sunday,OTHER
7663941,699466,5,20,Wednesday,OTHER
7668754,662917,1,4,Sunday,OTHER
7645380,674436,2,5,Wednesday,OTHER
7686181,694571,1,4,Monday,OTHER
7650289,686955,3,12,Tuesday,OTHER
7648146,684936,4,13,Saturday,STREET CRIMES
7663639,671963,2,6,Saturday,OTHER
7638448,681777,4,16,Tuesday,OTHER
7674844,671835,5,21,Thursday,STREET CRIMES
7647423,713870,3,11,Sunday,OTHER
7671369,663597,2,6,Wednesday,OTHER
7681741,677861,4,14,Wednesday,OTHER
7638170,681549,5,20,Thursday,OTHER
7624368,712108,1,2,Wednesday,OTHER
7688671,675152,1,1,Wednesday,OTHER
7644850,713785,4,15,Tuesday,OTHER
7641799,681870,5,19,Sunday,OTHER
7647148,706069,5,21,Sunday,OTHER
7639806,703456,3,13,Thursday,OTHER
7649892,674837,4,16,Thursday,OTHER
7644357,685349,4,14,Monday,OTHER
7645313,684150,4,13,Saturday,STREET CRIMES
7643816,703690,5,21,Tuesday,OTHER
7645059,684811,5,19,Saturday,OTHER
